Text,Color,Location,Date
791028450002,small_red,"33.9454535,-118.170584",
558480760001,small_red,"33.9480096,-118.170261",
520141410001,small_red,"33.9361233,-118.1745241",
520141470001,small_red,"33.9351441,-118.1759806",
267065530001,small_red,"33.9307868,-118.1787003",
558480800001,small_red,"33.9633981,-118.1694259",
S3 End,small_red,"33.9640466,-118.1691592",
717983,small_yellow,"33.933537,-118.177553",
774359,small_yellow,"33.941453,-118.171",
717995,small_yellow,"33.951319,-118.170427",
718147,small_yellow,"33.969609,-118.167563",
717992,small_yellow,"33.949254,-118.170271",
